;Palabra;Sentimiento;Valoracion;Stemmed
513;desavenido;Triste;-1;desaven
514;desazón;Triste;-1;desazon
515;descalabrado;Triste;-1;descalabr
516;descamisado;Triste;-1;descamis
517;descanso;Feliz;1;descans
518;descarrilamiento;Triste;-1;descarril
519;descollante;Feliz;1;descoll
520;descomposición;Triste;-1;descomposicion
521;descompuesto;Triste;-1;descompuest
522;desconforme;Triste;-1;desconform
523;desconocido;Triste;-1;desconoc
524;desconsolado;Triste;-1;desconsol
525;desconsuelo;Triste;-1;desconsuel
526;descontento;Triste;-1;descontent
527;descorazonado;Triste;-1;descorazon
528;descortés;Triste;-1;descortes
529;descoyuntarse;Triste;-1;descoyunt
530;descuajaringarse;Triste;-1;descuajaring
531;descuartizamiento;Triste;-1;descuartiz
532;descuidado;Triste;-1;descuid
533;descuido;Triste;-1;descu
534;desdén;Triste;-1;desden
535;desdeñar;Triste;-1;desdeñ
536;desdibujado;Triste;-1;desdibuj
537;desdicha;Triste;-1;desdich
538;desencajarse;Triste;-1;desencaj
539;desencantado;Triste;-1;desencant
540;desenfrenado;Feliz;1;desenfren
541;desengañado;Triste;-1;desengañ
542;desenvuelto;Feliz;1;desenvuelt
543;desértico;Triste;-1;desert
544;desertizar;Triste;-1;desertiz
545;desesperación;Triste;-1;desesper
546;desesperanzador;Triste;-1;desesperanz
547;desfallecer;Triste;-1;desfallec
548;desfiguración;Triste;-1;desfigur
549;desgracia;Triste;-1;desgraci
550;desguarnecer;Triste;-1;desguarnec
551;deshabitado;Triste;-1;deshabit
552;desheredado;Triste;-1;deshered
553;desierto;Triste;-1;desiert
554;desilusión;Triste;-1;desilusion
555;desinterés;Triste;-1;desinteres
556;deslealtad;Triste;-1;deslealt
557;desligarse;Triste;-1;deslig
558;deslomarse;Triste;-1;deslom
559;deslucido;Triste;-1;desluc
560;deslustrado;Triste;-1;deslustr
561;Desmoralización;Triste;-1;desmoraliz
562;desnutrición;Triste;-1;desnutricion
563;desolación;Triste;-1;desol
564;desolladura;Triste;-1;desolladur
565;despachar;Triste;-1;despach
566;despechado;Triste;-1;despech
567;despejar;Feliz;1;despej
568;despoblado;Triste;-1;despobl
569;despojar;Triste;-1;despoj
570;desposeer;Triste;-1;despos
571;despreciado;Triste;-1;despreci
572;despreocupación;Feliz;1;despreocup
573;desproporción;Triste;-1;desproporcion
574;destacado;Feliz;1;destac
575;destartalado;Triste;-1;destartal
576;desternillarse;Feliz;1;desternill
577;destrozo;Triste;-1;destroz
578;destrucción;Triste;-1;destruccion
579;destructivo;Triste;-1;destruct
580;destructor;Triste;-1;destructor
581;destruir;Triste;-1;destru
582;desvalido;Triste;-1;desval
583;desvelado;Triste;-1;desvel
584;desventaja;Triste;-1;desventaj
585;desventura;Triste;-1;desventur
586;desvergonzado;Triste;-1;desvergonz
587;desvincularse;Triste;-1;desvincul
588;deteriorado;Triste;-1;deterior
589;deuda;Triste;-1;deud
590;deudor;Triste;-1;deudor
591;devastación;Triste;-1;devast
592;dicha;Feliz;1;dich
593;dichoso;Feliz;1;dichos
594;diezmar;Triste;-1;diezm
595;difícil;Triste;-1;dificil
596;dificultad;Triste;-1;dificult
597;difunto;Triste;-1;difunt
598;dignidad;Feliz;1;dignid
599;dimitir;Triste;-1;dimit
600;dinámico;Feliz;1;dinam
601;dinero;Feliz;1;diner
602;diñarla;Triste;-1;diñ
603;disconformidad;Triste;-1;disconform
604;discordante;Triste;-1;discord
605;discordia;Triste;-1;discordi
606;discrepancia;Triste;-1;discrep
607;discusión;Triste;-1;discusion
608;disecar;Triste;-1;disec
609;disección;Triste;-1;diseccion
610;disensión;Triste;-1;disension
611;disentir;Triste;-1;disent
612;disfrutar;Feliz;1;disfrut
613;disgustado;Triste;-1;disgust
614;disparate;Triste;-1;disparat
615;disputa;Triste;-1;disput
616;distanciado;Triste;-1;distanci
617;distinguido;Feliz;1;distingu
618;distorsión;Triste;-1;distorsion
619;disuadir;Triste;-1;disuad
620;diversión;Feliz;1;diversion
621;divertido;Feliz;1;divert
622;doblegamiento;Triste;-1;dobleg
623;doler;Triste;-1;dol
624;doliente;Triste;-1;dolient
625;dolor;Triste;-1;dolor
626;dominante;Feliz;1;domin
627;dominio;Feliz;1;domini
628;donar;Triste;-1;don
629;donjuán;Feliz;1;donjuan
630;drama;Triste;-1;dram
631;dramático;Triste;-1;dramat
632;dramatizar;Triste;-1;dramatiz
633;duelo;Triste;-1;duel
634;dulce;Feliz;1;dulc
635;dulzura;Feliz;1;dulzur
636;duro;Triste;-1;dur
637;edema;Triste;-1;edem
638;edén;Feliz;1;eden
639;efervescencia;Feliz;1;efervescent
640;eficacia;Feliz;1;eficaci
641;eficaz;Feliz;1;eficaz
642;ejecución;Triste;-1;ejecu
643;ejecutar;Triste;-1;ejecut
644;ejecutor;Triste;-1;ejecutor
645;purgatorio;Triste;-1;purgatori
646;electrocución;Triste;-1;electrocu
647;elevación;Feliz;1;elev
648;eliminación;Triste;-1;elimin
649;eludir;Triste;-1;elud
650;embalsamado;Triste;-1;embalsam
651;embalsamiento;Triste;-1;embals
652;embelesado;Feliz;1;embeles
653;embolia;Triste;-1;emboli
654;emborrachar;Feliz;1;emborrach
655;embriagador;Feliz;1;embriag
656;embriaguez;Feliz;1;embriaguez
657;embrutecerse;Triste;-1;embrutec
658;emotividad;Triste;-1;emot
659;empalamiento;Triste;-1;empal
660;empañar;Triste;-1;empañ
661;empaquetadura;Triste;-1;empaquetadur
662;emparedar;Triste;-1;empared
663;empeorar;Triste;-1;empeor
664;emperrado;Triste;-1;emperr
665;empíreo;Feliz;1;empire
666;empobrecer;Triste;-1;empobrec
667;empuje;Feliz;1;empuj
668;empujón;Feliz;1;empujon
669;enajenación;Triste;-1;enajen
670;enardecedor;Feliz;1;enardecedor
671;enardecer;Feliz;1;enardec
672;encantador;Feliz;1;encant
673;encarado;Triste;-1;encar
674;encarcelar;Triste;-1;encarcel
675;encerrado;Triste;-1;encerr
676;encierro;Triste;-1;encierr
677;encogerse;Triste;-1;encog
678;encumbrarse;Feliz;1;encumbr
679;endeudado;Triste;-1;endeud
680;enemigo;Triste;-1;enemig
681;enemistad;Triste;-1;enemist
682;enervante;Triste;-1;enerv
683;Enfadado;Triste;-1;enfad
684;enfermedad;Triste;-1;enfermed
685;enfermo;Triste;-1;enferm
686;enfoscar;Triste;-1;enfosc
687;enfrentar;Triste;-1;enfrent
688;enfriamiento;Triste;-1;enfriamient
689;enfriarse;Triste;-1;enfri
690;enfurruñarse;Triste;-1;enfurruñ
691;engolosinar;Feliz;1;engolosin
692;engorro;Triste;-1;engorr
693;engrandecer;Feliz;1;engrandec
694;enloquecedor;Triste;-1;enloquecedor
695;enlutado;Triste;-1;enlut
696;enmendar;Feliz;1;enmend
697;enojadizo;Triste;-1;enojadiz
698;enojado;Triste;-1;enoj
699;enorgullecer;Feliz;1;enorgullec
700;enriquecerse;Feliz;1;enriquec
701;ensombrecer;Triste;-1;ensombrec
702;ensuciar;Triste;-1;ensuci
703;enternecedor;Feliz;1;enternecedor
704;enternecer;Feliz;1;enternec
705;enterramiento;Triste;-1;enterr
706;entierro;Triste;-1;entierr
707;entretener;Feliz;1;entreten
708;entristecedor;Triste;-1;entristecedor
709;entristecer;Triste;-1;entristec
710;enturbiar;Triste;-1;enturbi
711;entusiasmado;Feliz;1;entusiasm
712;envejecer;Triste;-1;envejec
713;envenenamiento;Triste;-1;envenen
714;envidia;Triste;-1;envidi
715;epicúreo;Feliz;1;epicure
716;epidemia;Triste;-1;epidemi
717;Erinnias;Triste;-1;erinni
718;ermitaño;Triste;-1;ermitañ
719;erótico;Feliz;1;erot
720;escabechina;Triste;-1;escabechin
721;escacharrar;Triste;-1;escacharr
722;escalar;Feliz;1;escal
723;escalofriante;Triste;-1;escalofri
724;escasez;Triste;-1;escasez
725;escaso;Triste;-1;escas
726;escatología;Triste;-1;escatolog
727;esclarecido;Feliz;1;esclarec
728;esclavitud;Triste;-1;esclavitud
729;esclavizarse;Triste;-1;esclaviz
730;esclavo;Triste;-1;esclav
731;escocer;Triste;-1;escoc
732;escrúpulo;Triste;-1;escrupul
733;escurrir;Triste;-1;escurr
734;esfumado;Triste;-1;esfum
735;espantajo;Triste;-1;espantaj
736;espantapájaros;Triste;-1;espantapajar
737;espantar;Triste;-1;espant
738;esparcimiento;Feliz;1;esparc
739;espectral;Triste;-1;espectral
740;espeluznante;Triste;-1;espeluzn
741;esperpento;Triste;-1;esperpent
742;espichar;Triste;-1;espich
743;esplendor;Feliz;1;esplendor
744;esquela;Triste;-1;esquel
745;esqueleto;Triste;-1;esquelet
746;esquilmado;Triste;-1;esquilm
747;esquivar;Triste;-1;esquiv
748;esquivez;Triste;-1;esquivez
749;estantigua;Triste;-1;estantigu
750;estepario;Triste;-1;estepari
751;estéril;Triste;-1;esteril
752;esterilizar;Triste;-1;esteriliz
753;estertor;Triste;-1;estertor
754;estigio;Triste;-1;estigi
755;estimulación;Feliz;1;estimul
756;estoicismo;Triste;-1;estoic
757;estrago;Triste;-1;estrag
758;estrangulación;Triste;-1;estrangul
759;estrechez;Triste;-1;estrechez
760;estremecedor;Triste;-1;estremecedor
761;estremecer;Triste;-1;estremec
762;estropeado;Triste;-1;estrop
763;estupor;Triste;-1;estupor
764;euforia;Feliz;1;eufori
765;eufórico;Feliz;1;eufor
766;eutanasia;Triste;-1;eutanasi
767;evitar;Triste;-1;evit
768;Evocación;Triste;-1;evoc
