Palabra;Sentimiento;Valoracion manual
rudo;Triste;-1
ruin;Triste;-1
ruina;Triste;-1
ruindad;Triste;-1
ruinoso;Triste;-1
rusticidad;Triste;-1
r�stico;Triste;-1
sabidur�a;Feliz;1
sabio;Feliz;1
saborear;Feliz;1
saboreo;Feliz;1
sabroso;Feliz;1
saciarse;Feliz;1
sacrificado;Triste;-1
sacrificar;Triste;-1
sacrificarse;Triste;-1
sacrificio;Triste;-1
saleroso;Feliz;1
salud;Feliz;1
saludable;Feliz;1
salvaje;Triste;-1
salvajismo;Triste;-1
salvamento;Feliz;1
sanarse;Feliz;1
sa�a;Triste;-1
sa�udo;Triste;-1
saponificaci�n;Triste;-1
saquear;Triste;-1
sarc�fago;Triste;-1
satisfacci�n;Feliz;1
satisfacer;Feliz;1
satisfacerse;Feliz;1
satisfactorio;Feliz;1
satisfecho;Feliz;1
saturado;Triste;-1
saturarse;Triste;-1
seco;Triste;-1
sed;Triste;-1
sediento;Triste;-1
seducir;Feliz;1
segregaci�n;Triste;-1
segregar;Triste;-1
seguridad;Feliz;1
seguro;Feliz;1
semidifunto;Triste;-1
senil;Triste;-1
sensibilidad;Triste;-1
sensibilizar;Triste;-1
sensible;Triste;-1
sensibler�a;Triste;-1
sensiblero;Triste;-1
sensual;Feliz;1
sensualidad;Feliz;1
sentimental;Triste;-1
sentimentalismo;Triste;-1
sentimiento;Triste;-1
sentir;Triste;-1
se�alado;Feliz;1
separaci�n;Triste;-1
separado;Triste;-1
separar;Triste;-1
separarse;Triste;-1
sepelio;Triste;-1
sepulcral;Triste;-1
sepulcro;Triste;-1
sepultura;Triste;-1
sequedad;Triste;-1
sequ�a;Triste;-1
seriedad;Triste;-1
serio;Triste;-1
servil;Triste;-1
servir;Triste;-1
severidad;Triste;-1
severo;Triste;-1
sexo;Feliz;1
sexual;Feliz;1
sexualidad;Feliz;1
shock;Triste;-1
sibarita;Feliz;1
sibaritismo;Feliz;1
silenciar;Triste;-1
silencio;Triste;-1
silencioso;Triste;-1
simp�tico;Feliz;1
sincero;Feliz;1
s�ncope;Triste;-1
siniestrar;Triste;-1
siniestro;Triste;-1
sinsabor;Triste;-1
sitiar;Triste;-1
sobrecogedor;Triste;-1
Sobrecoger;Triste;-1
sobrecogido;Triste;-1
sobrecogimiento;Triste;-1
sobreexcitar;Feliz;1
sobresaliente;Feliz;1
sobresalir;Feliz;1
sobresaltado;Triste;-1
sobresalto;Triste;-1
solaz;Feliz;1
solazado;Feliz;1
solazar;Feliz;1
solazarse;Feliz;1
soledad;Triste;-1
solicitar;Triste;-1
solitario;Triste;-1
sollozante;Triste;-1
sollozar;Triste;-1
sollozo;Triste;-1
solvencia;Feliz;1
sombra;Triste;-1
sombras;Triste;-1
sombr�o;Triste;-1
sombr�n;Triste;-1
sonre�r;Feliz;1
sonriente;Feliz;1
sonrisa;Feliz;1
soportar;Triste;-1
s�rdido;Triste;-1
soso;Triste;-1
stress;Triste;-1
subdesarrollado;Triste;-1
subdesarrollo;Triste;-1
subida;Feliz;1
subir;Feliz;1
sublime;Feliz;1
suceso;Triste;-1
sucio;Triste;-1
sucumbir;Triste;-1
sudario;Triste;-1
suerte;Feliz;1
sufrido;Triste;-1
sufrimiento;Triste;-1
sufrir;Triste;-1
sugesti�n;Triste;-1
sugestionado;Triste;-1
sugestionar;Triste;-1
sugestivo;Triste;-1
suicida;Triste;-1
suicidarse;Triste;-1
suicidio;Triste;-1
sumisi�n;Triste;-1
sumiso;Triste;-1
superaci�n;Feliz;1
superar;Feliz;1
superior;Feliz;1
superioridad;Feliz;1
s�plica;Triste;-1
suplicante;Triste;-1
suplicar;Triste;-1
supresi�n;Triste;-1
suprimir;Triste;-1
susceptible;Triste;-1
suspense;Triste;-1
suspenso;Triste;-1
suspicaz;Triste;-1
suspirante;Triste;-1
suspirar;Triste;-1
suspiro;Triste;-1
taciturnidad;Triste;-1
taciturno;Triste;-1
tanatolog�a;Triste;-1
tanatol�gico;Triste;-1
tapiar;Triste;-1
t�rtaro;Triste;-1
tascar;Triste;-1
taxidermia;Triste;-1
temblar;Triste;-1
temblor;Triste;-1
tembloroso;Triste;-1
temer;Triste;-1
temeroso;Triste;-1
temible;Triste;-1
temor;Triste;-1
tenebroso;Triste;-1
tensi�n;Triste;-1
terremoto;Triste;-1
terrible;Triste;-1
terror�fico;Triste;-1
testamento;Triste;-1
t�trico;Triste;-1
timidez;Triste;-1
t�mido;Triste;-1
tinieblas;Triste;-1
tirantez;Triste;-1
tirria;Triste;-1
tomado;Triste;-1
tomarse;Triste;-1
tormenta;Triste;-1
tormento;Triste;-1
tormentoso;Triste;-1
torpe;Triste;-1
tortura;Triste;-1
torturado;Triste;-1
torturante;Triste;-1
torturar;Triste;-1
torvo;Triste;-1
tosco;Triste;-1
tosquedad;Triste;-1
tragaderas;Triste;-1
tragar;Triste;-1
tragedia;Triste;-1
tr�gico;Triste;-1
tragic�mico;Triste;-1
trago;Triste;-1
traidor;Triste;-1
trance;Triste;-1
tranquilidad;Feliz;1
tranquilizar;Feliz;1
tranquilizarse;Feliz;1
tranquilo;Feliz;1
transformar;Feliz;1
transido;Triste;-1
transigencia;Triste;-1
transigente;Triste;-1
transigir;Triste;-1
tr�nsito;Triste;-1
trascendental;Feliz;1
trastornado;Triste;-1
trastornar;Triste;-1
trastorno;Triste;-1
trauma;Triste;-1
traumatizar;Triste;-1
tremendo;Triste;-1
tribulaci�n;Triste;-1
triste;Triste;-1
tristeza;Triste;-1
triunfador;Feliz;1
triunfante;Feliz;1
triunfar;Feliz;1
triunfo;Feliz;1
tromba;Triste;-1
trombosis;Triste;-1
tronado;Triste;-1
tropezar;Triste;-1
tropiezo;Triste;-1
tuerto;Triste;-1
tullido;Triste;-1
tullir;Triste;-1
tumba;Triste;-1
tumulto;Triste;-1
turbaci�n;Triste;-1
turbado;Triste;-1
turbador;Triste;-1
turbar;Triste;-1
turbiedad;Triste;-1
turbio;Triste;-1
turbulencia;Triste;-1
ufanar;Feliz;1
ufanarse;Feliz;1
ufan�a;Feliz;1
ufano;Feliz;1
ultratumba;Triste;-1
ululante;Triste;-1
ulular;Triste;-1
ululato;Triste;-1
urna;Triste;-1
�til;Feliz;1
utilidad;Feliz;1
uxoricida;Triste;-1
uxoricidio;Triste;-1
vaciar;Triste;-1
vac�o;Triste;-1
vagabundo;Triste;-1
vagancia;Triste;-1
vagar;Triste;-1
vagido;Triste;-1
vago;Triste;-1
vaguedad;Triste;-1
valer;Feliz;1
valioso;Feliz;1
valor;Feliz;1
valorizar;Feliz;1
vampirismo;Triste;-1
vampiro;Triste;-1
vanagloria;Feliz;1
vanguardia;Feliz;1
vehemencia;Triste;-1
vehemente;Triste;-1
vejez;Triste;-1
Velado;Triste;-1
velar;Triste;-1
velatorio;Triste;-1
velo;Triste;-1
velorio;Triste;-1
velos;Triste;-1
vencer;Feliz;1
venenoso;Triste;-1
ventaja;Feliz;1
ventajoso;Feliz;1
ventura;Feliz;1
venturosamente;Feliz;1
venturoso;Feliz;1
verdugo;Triste;-1
vergonzante;Triste;-1
vergonzoso;Triste;-1
verter;Triste;-1
vestimenta;Triste;-1
vicio;Feliz;1
vicioso;Feliz;1
v�ctima;Triste;-1
victoria;Feliz;1
vidorra;Feliz;1
vidrioso;Triste;-1
viejo;Triste;-1
vigilia;Triste;-1
vil;Triste;-1
vileza;Triste;-1
vilo;Triste;-1
violencia;Triste;-1
violenta;Triste;-1
violento;Triste;-1
vital;Feliz;1
vitorear;Feliz;1
vivaz;Feliz;1
vividor;Feliz;1
vivir;Feliz;1
vocinglero;Triste;-1
volcar;Triste;-1
voluptuosidad;Feliz;1
voluptuoso;Feliz;1
vulnerar;Triste;-1
yermo;Triste;-1
zambo;Triste;-1
zollipar;Triste;-1
zollipo;Triste;-1
zombie;Triste;-1
zozobra;Triste;-1
